,train_f1_score,test_f1_score,train_precision,test_precision,train_recall,test_recall,train_zero_one_loss,test_zero_one_loss,Time,Difference_recall_unit
LinearDiscriminantAnalysis,0.7065918028866337,0.7224601938979056,0.709758034898617,0.7406902884813957,0.70369380217648,0.7075259142196364,110.0,47.0,0.006398558616638184,0.3832112043156366
GaussianNB,0.7028580676575643,0.7200456744531841,0.6679201566371494,0.6973874449129687,0.7424012542558796,0.7465684386673108,118.2,50.2,0.005196976661682129,0.41671844114312684
RidgeClassifierCV,0.7075811678864381,0.7233646889698849,0.7128599325661703,0.7426203815197576,0.702651881134559,0.7075259142196364,109.3,46.8,0.007304978370666504,0.48740330850773894
LinearSVC,0.7075811678864381,0.7233646889698849,0.7128599325661703,0.7426203815197576,0.702651881134559,0.7075259142196364,109.3,46.8,0.030197334289550782,0.48740330850773894
SGDClassifier,0.61833064667494,0.6261099269881413,0.7683913416541569,0.8138606247480075,0.5676489592864578,0.5615555900979383,122.0,51.8,0.006097221374511718,0.6093369188519437
LogisticRegressionCV,0.7071774635948942,0.7070748289519917,0.7522027669047636,0.7652745798858983,0.6700101407042571,0.6630261688713885,104.2,47.1,0.21711385250091553,0.6983971832868585
AdaBoostClassifier,0.7407832360348706,0.7403605079796652,0.7492503634583111,0.7569182560815683,0.7343578106770758,0.7257546399048267,96.6,44.0,0.152763032913208,0.8603170772249147
Perceptron,0.5911865758492236,0.5907911580381289,0.6413035806816308,0.6576524272913857,0.6229754095123399,0.6142414188195893,138.3,61.2,0.007595968246459961,0.8733990692750604
PassiveAggressiveClassifier,0.5875931619492086,0.5903150688747268,0.7901997751515581,0.7197156555823809,0.5459083425971212,0.5351993811243738,122.9,53.4,0.004696297645568848,1.0708961472747358
BernoulliNB,0.693279555675348,0.7202508446881731,0.7177226725231601,0.7566020754772314,0.6706980339741377,0.6885430514122188,111.7,46.3,0.006794404983520508,1.784501743808109
QuadraticDiscriminantAnalysis,0.7288196506548121,0.7198090334091753,0.7592369243483421,0.771688237454548,0.7012254680366856,0.675466327808232,98.2,45.3,0.004897761344909668,2.5759140228453603
SVC,0.7419355100753061,0.7185023133781039,0.8465260834394218,0.8372886779179713,0.6605638476091393,0.6303713706203147,86.5,42.7,0.03959658145904541,3.0192476988824657
NuSVC,0.7459099080753149,0.722667629230777,0.8199203262090442,0.8197161738344325,0.6853337275293225,0.6491534497168352,87.8,42.9,0.04741997718811035,3.618027781248734
GaussianProcessClassifier,0.7676596191389542,0.7248923772248203,0.8765536829399438,0.8468052104791758,0.6834314009256635,0.6345780466786795,77.8,41.6,0.21532347202301025,4.8853354246984
GradientBoostingClassifier,0.7741445491093504,0.7270491586634702,0.8925863634888831,0.852258078690421,0.6839637192069943,0.6346050728508806,75.0,41.3,0.13479793071746826,4.935864635611365
LGBMClassifier,0.7800323271743826,0.724768472979207,0.8809438029663805,0.8246615576940274,0.7004096583396332,0.6472824222378699,74.3,42.5,0.09830646514892578,5.312723610176329
ExtraTreesClassifier,0.7851587209278161,0.7181204853861592,0.9018973824026153,0.8297159153232367,0.6960511306877837,0.6338020777556304,71.6,43.1,0.1892042875289917,6.224905293215333
XGBClassifier,0.7903674248727552,0.7247368726303915,0.8800739697095142,0.8120269804696193,0.7179533430295473,0.6555690362857395,71.6,43.2,0.11115694046020508,6.23843067438078
KNeighborsClassifier,0.7646059208390005,0.701958858937247,0.8384606608256459,0.7777181198536153,0.7052590453304372,0.6424410726568881,81.5,47.1,0.004999327659606934,6.281797267354905
RandomForestClassifier,0.7894999944810185,0.7233557192243362,0.8841172045348056,0.8156291937494473,0.7139716043502224,0.6503114497560577,71.6,43.1,0.21899106502532958,6.366015459416474
DecisionTreeClassifier,0.7851587209278161,0.7159558925004841,0.9018973824026153,0.8301723030358004,0.6960511306877837,0.630249868767528,71.6,43.3,0.00470266342163086,6.5801261920255705
BaggingClassifier,0.7901833505612005,0.7231079700598018,0.872596489959081,0.80742167520204,0.7228286530185682,0.656480582086251,72.2,43.6,0.043999528884887694,6.6348070932317205
